,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,temp_v,humdy_v,cloud_v,wind_v
282,brae,GB,92,09/28/2018,70,60.4,-1.35,51.8,31.09,xkcd:yellow green,#6666FF,#E5E5FF,xkcd:orange
283,saint-augustin,CA,75,09/28/2018,77,45.63,-73.98,64.4,6.93,xkcd:yellow,#4C4CFF,#B2B2FF,xkcd:indigo blue
284,mopti,ML,20,09/28/2018,88,14.49,-4.19,80.6,6.93,xkcd:reddish orange,#3333FF,#1919FF,xkcd:indigo blue
285,aykhal,RU,32,09/28/2018,87,65.95,111.51,31.11,2.71,xkcd:green,#3333FF,#4C4CFF,xkcd:violet
286,verkhovyna,UA,0,09/28/2018,84,48.15,24.83,33.99,1.92,xkcd:green,#3333FF,#0000FF,xkcd:violet
287,emirdag,TR,24,09/28/2018,87,39.02,31.15,46.41,2.48,xkcd:sea green,#3333FF,#3333FF,xkcd:violet
288,haines junction,CA,88,09/28/2018,43,60.75,-137.51,46.77,2.71,xkcd:sea green,#9999FF,#CCCCFF,xkcd:violet
289,ternate,ID,32,09/28/2018,99,0.8,127.4,81.96,6.4,xkcd:reddish orange,#1919FF,#4C4CFF,xkcd:indigo blue
290,navrongo,GH,8,09/28/2018,75,10.89,-1.09,80.07,7.18,xkcd:reddish orange,#4C4CFF,#0000FF,xkcd:indigo blue
291,cockburn town,TC,56,09/28/2018,97,21.46,-71.14,83.67,16.24,xkcd:reddish orange,#1919FF,#7F7FFF,xkcd:green
292,xingcheng,CN,0,09/28/2018,78,40.62,120.71,56.94,4.5,xkcd:yellow green,#4C4CFF,#0000FF,xkcd:violet
293,mackenzie,CA,75,09/28/2018,43,55.34,-123.09,51.8,5.82,xkcd:yellow green,#9999FF,#B2B2FF,xkcd:indigo blue
294,usinsk,RU,92,09/28/2018,100,66,57.56,38.13,4.05,xkcd:green,#0000FF,#E5E5FF,xkcd:violet
295,charters towers,AU,0,09/28/2018,82,-20.07,146.27,73.86,4.5,xkcd:orange,#3333FF,#0000FF,xkcd:violet
296,tevriz,RU,80,09/28/2018,87,57.51,72.4,44.43,9.53,xkcd:sea green,#3333FF,#B2B2FF,xkcd:indigo blue
297,katsuura,JP,90,09/28/2018,100,33.93,134.5,66.2,6.93,xkcd:yellow,#0000FF,#CCCCFF,xkcd:indigo blue
298,inhambane,MZ,0,09/28/2018,100,-23.87,35.38,72.33,7.52,xkcd:orange,#0000FF,#0000FF,xkcd:indigo blue
299,adre,TD,80,09/28/2018,93,13.47,22.2,67.38,4.16,xkcd:yellow,#1919FF,#B2B2FF,xkcd:violet
300,gravdal,NO,92,09/28/2018,81,59.79,5.78,50,18.34,xkcd:sea green,#3333FF,#E5E5FF,xkcd:green
301,tondano,ID,20,09/28/2018,62,1.3,124.91,86,2.24,xkcd:reddish orange,#6666FF,#1919FF,xkcd:violet
302,mackay,AU,0,09/28/2018,57,-21.15,149.2,78.8,8.05,xkcd:orange,#7F7FFF,#0000FF,xkcd:indigo blue
303,vestmanna,FO,92,09/28/2018,93,62.16,-7.17,48.2,14.99,xkcd:sea green,#1919FF,#E5E5FF,xkcd:blue
304,san patricio,MX,24,09/28/2018,63,19.22,-104.7,87.09,5.73,xkcd:reddish orange,#6666FF,#3333FF,xkcd:indigo blue
305,buala,SB,68,09/28/2018,88,-8.15,159.59,83.76,4.94,xkcd:reddish orange,#3333FF,#9999FF,xkcd:violet
306,honiara,SB,75,09/28/2018,66,-9.43,159.96,87.8,6.93,xkcd:reddish orange,#6666FF,#B2B2FF,xkcd:indigo blue
307,oda,GH,80,09/28/2018,96,5.91,-1,73.95,4.27,xkcd:orange,#1919FF,#B2B2FF,xkcd:violet
308,basco,PH,80,09/28/2018,97,20.45,121.97,83.31,18.7,xkcd:reddish orange,#1919FF,#B2B2FF,xkcd:green
309,kadiri,IN,20,09/28/2018,97,14.11,78.16,68.91,2.82,xkcd:yellow,#1919FF,#1919FF,xkcd:violet
310,rio grande,BR,92,09/28/2018,94,-32.03,-52.1,66.12,24.07,xkcd:yellow,#1919FF,#E5E5FF,xkcd:sea green
311,albany,AU,0,09/28/2018,59,-35.02,117.88,55.5,16.69,xkcd:yellow green,#7F7FFF,#0000FF,xkcd:green
312,hami,CN,20,09/28/2018,59,42.84,93.51,38.94,3.27,xkcd:green,#7F7FFF,#1919FF,xkcd:violet
313,bull savanna,JM,80,09/28/2018,77,17.89,-77.59,78.9,2.59,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:violet
314,san andres,GT,68,09/28/2018,75,16.97,-89.92,80.88,5.61,xkcd:reddish orange,#4C4CFF,#9999FF,xkcd:indigo blue
315,igrim,RU,36,09/28/2018,88,63.19,64.42,39.93,6.17,xkcd:green,#3333FF,#4C4CFF,xkcd:indigo blue
316,mareeba,AU,20,09/28/2018,45,-16.99,145.42,82.4,21.92,xkcd:reddish orange,#9999FF,#1919FF,xkcd:sea green
317,taoudenni,ML,0,09/28/2018,28,22.68,-3.98,78.09,8.63,xkcd:orange,#CCCCFF,#0000FF,xkcd:indigo blue
318,carberry,CA,75,09/28/2018,44,49.87,-99.36,39.2,8.05,xkcd:green,#9999FF,#B2B2FF,xkcd:indigo blue
319,camopi,GF,0,09/28/2018,56,3.17,-52.33,84.93,5.5,xkcd:reddish orange,#7F7FFF,#0000FF,xkcd:indigo blue
320,manakara,MG,68,09/28/2018,100,-22.14,48.01,67.38,8.41,xkcd:yellow,#0000FF,#9999FF,xkcd:indigo blue
321,cooma,AU,68,09/28/2018,82,-36.24,149.13,41.55,9.64,xkcd:sea green,#3333FF,#9999FF,xkcd:indigo blue
322,bushehr,IR,0,09/28/2018,68,28.97,50.84,80.88,6.17,xkcd:reddish orange,#6666FF,#0000FF,xkcd:indigo blue
323,fort frances,CA,90,09/28/2018,16,48.61,-93.4,35.06,13.87,xkcd:green,#E5E5FF,#CCCCFF,xkcd:blue
324,leh,IN,64,09/28/2018,82,34.16,77.58,7.62,1.81,xkcd:violet,#3333FF,#9999FF,xkcd:violet
325,mahanoro,MG,92,09/28/2018,99,-19.9,48.8,63.78,1.81,xkcd:yellow,#1919FF,#E5E5FF,xkcd:violet
326,bayan,KW,0,09/28/2018,22,29.3,48.05,80.6,3.36,xkcd:reddish orange,#CCCCFF,#0000FF,xkcd:violet
327,chernyshevskiy,RU,36,09/28/2018,88,63.01,112.47,38.13,2.93,xkcd:green,#3333FF,#4C4CFF,xkcd:violet
328,cayenne,GF,0,09/28/2018,94,4.94,-52.33,80.6,2.24,xkcd:reddish orange,#1919FF,#0000FF,xkcd:violet
329,alice springs,AU,0,09/28/2018,28,-23.7,133.88,71.6,16.11,xkcd:orange,#CCCCFF,#0000FF,xkcd:green
330,tiksi,RU,92,09/28/2018,99,71.64,128.87,29.76,4.16,xkcd:blue,#1919FF,#E5E5FF,xkcd:violet
331,alyangula,AU,0,09/28/2018,87,-13.85,136.42,81.6,17.13,xkcd:reddish orange,#3333FF,#0000FF,xkcd:green
